Ident,Lat,Lon,Alt
VHXX,22.31460650,114.20405050,5
E46,29.87489694,-103.69712667,1158
SSOK,-23.21416667,-51.18583333,589
1RSU,-23.52567461,133.68335999,717
1T1,29.65023583,-96.57941639,78
NM47,32.78011333,-104.38135056,1024
OG00,44.55789500,-121.40143806,821
CA54,37.67048527,-121.32771945,25
96GA,33.18583333,-84.36805556,271
7I6,39.82504472,-86.88334195,247
9M9,32.40986527,-91.34872528,24
XS50,27.38364833,-98.31000806,83
PA81,39.91277777,-77.53277778,250
1OK8,35.72977277,-97.54143084,331
63KS,39.32832944,-97.06085028,363
73WA,47.85099111,-118.33026556,482
PS53,40.63895500,-78.58140973,489
81CA,38.71657111,-122.56776112,396
CL25,34.93552916,-119.45178695,968
FD02,29.48497083,-82.02203501,24
96KY,37.55222222,-87.27138889,142
RKSG,36.96221250,127.03107050,16
WY11,41.15708966,-106.55662743,2402
LECO,43.30226400,-8.37708573,98
61PN,40.42565888,-75.23239695,137
KOCH,31.57777050,-94.71012900,108
KAPH,38.06887650,-77.31895850,67
TX27,27.85695916,-99.07947056,146
XS79,29.25857222,-98.45834862,165
U23,37.12083444,-109.98595723,1620
XS39,29.53634472,-95.26410223,15
MI21,41.73755000,-84.56495000,288
7Y7,44.66662944,-93.78357362,291
EGVP,51.14560639,-1.56654718,90
EDKA,50.82318200,6.18636650,190
EKYT,57.09418576,9.85574400,3
EDPA,48.77760750,10.26460625,584
FY00,-25.35000000,16.10000000,1030
EKAH,56.30426450,10.61945150,25
1VA7,36.66597250,-78.72250500,126
81Y,40.86251194,-98.06422195,556
EKVH,56.84539638,9.45982030,36
BGAA,68.72174840,-52.78475190,23
EFAA,67.60310000,23.97580000,225
SNDH,-12.16027778,-45.02250000,513
FY01,-23.99060000,16.08110000,1070
OIAA,30.36517900,48.23316950,6
SNLI,-19.15559700,-45.49477750,664
NGAB,1.79907444,173.04026685,10
UNAA,53.74343467,91.38578200,253
SDLI,-8.73699600,-39.11538900,291
LFOI,50.14349000,1.83189150,67
0R3,29.97576250,-92.08421000,5
0J0,31.60016777,-85.23882223,143
EIAB,53.59198543,-7.64688580,58
YABG,-27.34007435,147.26505620,269
CYXX,49.02442436,-122.36891310,58
83NE,42.32499944,-99.75595778,780
WARA,-7.92655600,112.71451225,526
FTTC,13.84744150,20.84324700,545
77KS,37.36752305,-96.87836639,402
MUSC,22.49219300,-79.94361250,103
NGTB,0.49077950,173.83012950,2
EGPD,57.20362293,-2.19901753,66
31VA,37.02019700,-76.58888350,10
U36,42.92110850,-112.88111100,1362
KABR,45.44827500,-98.42294025,397
YABF,-21.67066458,145.26589870,223
GA61,33.26900861,-84.49714806,238
KGZS,35.15370700,-87.05681500,209
F83,33.84625425,-101.76472900,1014
OEAB,18.24037750,42.65663300,2090
MS08,33.30567388,-90.99038195,35
DIAP,5.26138600,-3.92629600,6
NE27,41.36812579,-96.94972580,439
K78,38.90405550,-97.23585400,351
KABI,32.41317333,-99.68323267,546
EGUD,51.68926793,-1.31462569,70
YABI,-17.60783219,143.18372553,167
WXW0,-8.44819202,126.98755400,415
5FD5,30.59547194,-84.98130834,30
WX01,-6.06320084,139.26704427,15
WAKH,-6.16746800,139.26484700,31
WX02,-4.29254266,140.64001960,250
X6AB,57.07473224,-2.84006697,140
OEBQ,25.91127900,49.59122900,70
MMCS,31.63691225,-106.42779175,1190
7CA1,34.41472194,-116.62252362,869
4D0,42.77470325,-84.73347800,257
AU89,-28.43671337,113.73557123,11
FB00,-19.42165000,22.54860000,966
OS57,35.73216250,37.10421250,258
OEAA,27.31905550,49.58707050,21
OMAA,24.43304850,54.65118200,27
OM11,24.51885550,54.98006400,27
VA74,24.49424450,72.78151950,267
HE29,28.89901650,33.20246000,12
HEBL,22.37595150,31.61172100,188
HE35,30.57266250,32.09534125,15
OIBA,25.87574050,55.03299450,7
SWAB,-9.70027830,-65.36694340,135
YACS,-31.42677103,141.90468609,188
KARA,30.03775400,-91.88389300,7
KMFV,37.64684990,-75.76101861,14
DGAA,5.60257800,-0.16760158,62
67WI,43.97107916,-89.99707223,271
3AE,40.04587583,-85.66664278,277
EDXA,52.37750010,7.91350017,54
9M4,33.30345850,-89.22840000,168
4C7,42.54581166,-93.03408834,326
EG2,51.44834900,-113.51585000,925
06S,48.70955750,-122.17765723,92
WXZ9,-3.37668049,138.00929991,267
74J,30.88629944,-85.16381834,41
4CA7,39.67071666,-121.88581112,58
85TA,32.63624555,-97.18223389,207
I38,39.13250000,-84.82861112,142
SNUC,-5.59504850,-36.96091400,120
0D7,40.79046620,-83.82911704,289
KADH,34.80413525,-96.67092975,310
MI33,42.79225333,-82.63936195,192
PADK,51.87797635,-176.64574160,5
YADY,-35.99800580,148.79828176,1021
VIAX,31.43375800,75.75882650,236
90PA,41.87923222,-78.11500751,543
GA91,33.39706027,-84.46020389,270
1II2,40.61582416,-84.83482500,259
PS50,41.76785583,-75.72324389,488
8NC5,34.57460722,-79.24892862,44
9H2,37.90282805,-89.13757862,125
63C,43.96117000,-89.78803075,297
7FL3,27.44198388,-80.58422250,8
70LL,40.94169972,-88.75006695,195
83OH,40.06227333,-84.37939278,297
LTAF,36.98214200,35.28039400,20
YADA,-25.89548709,144.56849782,247
4TX8,33.24872916,-97.22390528,215
KEKX,37.68600700,-85.92503750,236
KADS,32.96855800,-96.83645400,196
2A8,34.20926833,-87.15806723,240
AU01,-35.17831446,139.11675120,94
YPAD,-34.94743912,138.52985029,6
YPPF,-34.79595142,138.63260729,17
AU02,-33.88717918,138.10363626,213
52CL,34.53749305,-117.46060417,937
YADL,-15.52225850,123.15489000,1
YALG,-18.69472674,138.52772670,132
VA71,38.64845250,-77.53276556,64
OYAA,12.82954200,45.02879300,2
SDRD,-21.64250000,-47.47111111,846
CA01,41.18600194,-120.95218917,1289
NY17,44.60198888,-73.85292223,412
KSLK,44.38456925,-74.20621200,507
LTCP,37.73136950,38.46893600,675
HUAJ,3.33923200,31.76472050,796
8IL0,42.35279777,-88.63481945,260
LTBJ,38.29221000,27.15593950,126
NM37,33.57645333,-107.90004528,2241
SNAH,-10.58091950,-38.08876800,272
6M3,38.87254361,-91.30015556,265
WIME,1.40010300,99.43045300,281
EN01,61.25802500,11.66985150,494
SSXN,-8.29833333,-55.11472223,250
38PA,40.39093861,-75.01405806,119
1GA9,33.76150555,-83.65267084,253
FD88,27.34198694,-80.52199889,8
SJCN,-16.90694445,-47.70833334,1080
SWMA,-11.83361112,-46.26666667,862
SJTL,-22.97861111,-51.54861111,555
SWKM,-14.64416667,-57.50416666,424
SJIE,-13.55027777,-58.86000000,530
T31,33.20845000,-96.74194200,241
TS96,32.08265999,-95.45217723,113
TX54,33.29844916,-96.86389000,184
7IS2,38.52449500,-90.05694445,172
1WI6,42.84029416,-88.06397500,251
55OI,40.85867277,-80.53534667,347
IL58,41.43614166,-88.24867417,183
30IS,42.07724805,-88.62508834,267
2OI4,41.04533277,-81.93653056,364
76C,43.10834277,-88.15981334,259
5II9,39.35281638,-87.37335223,174
NC21,34.99181583,-80.74840278,193
SSXW,-18.80777778,-52.60027778,800
SIQQ,-18.13361110,-49.79611111,2080
SJPP,-9.85694444,-56.00444444,268
NM42,34.41563111,-103.13494723,1286
SNXE,0.99333333,-51.12083333,73
89TX,30.87934333,-98.41697612,379
69FD,30.84500000,-85.28138889,79
1IA6,40.88499805,-95.48527195,346
MN98,45.41135333,-93.38467612,284
45IN,38.99644250,-85.74802778,208
SJKA,-13.63527778,-57.89944444,548
SNAU,-10.90305610,-37.08305740,7
SSAQ,-28.25027850,-52.51666640,600
SA37,-31.65096893,-64.38028172,553
SADS,-34.73335173,-58.59610647,18
SA1L,-35.75271190,-58.46245110,18
SSAK,-28.65777778,-53.61055556,470
SDBI,-21.28194444,-50.32694444,425
SSCE,-31.32777778,-54.13472222,220
SNKB,-7.17833333,-35.99027778,587
SSBZ,-29.67611111,-50.98138889,17
SNGS,-9.58750000,-35.75777778,87
SSHA,-20.48083333,-55.76944445,189
SSBG,-29.14833333,-51.53638890,673
SIXE,-30.05027778,-51.44361111,10
SSAF,-25.36944443,-54.47055556,256
SSRN,-26.32000000,-49.52055556,922
SSKT,-27.61166667,-48.67277778,6
SSDM,-30.82222222,-55.57638889,327
SIPA,-21.64472222,-46.93333334,872
SDNY,-22.74533600,-43.46030700,50
LEVB,39.57723450,3.12640450,72
IA54,42.20026083,-93.63410556,312
SWNV,-16.62540300,-49.34926800,825
SJGF,-30.21277779,-52.44138889,40
EKAE,54.85260278,10.45639583,0
12N,41.00861950,-74.73803350,178
SWXD,-21.56111111,-48.79861111,537
66IL,42.26918833,-88.57120389,250
SIUB,-13.50500000,-55.15083333,460
SIQI,-30.54222222,-50.47083333,6
LS72,30.20298500,-92.81208973,4
SJXA,-31.29222222,-54.15611111,270
SABE,-34.55941433,-58.41574935,5
SAMQ,-32.86506569,-68.87189162,807
SJGH,-28.71638889,-55.99250000,91
YPEC,-33.06590410,151.64633292,3
LIAP,42.37988366,13.30921805,674
SNJM,-20.25972222,-42.18388889,830
SDBP,-22.97884450,-46.53712650,880
SBBP,-22.97916667,-46.53750000,880
SDYS,-27.17361111,-48.63111111,10
SDNT,-15.68166667,-47.76888889,1086
SJGA,-3.70222222,-56.05388889,40
MRAO,10.42009600,-83.60986000,25
36IL,41.97086000,-88.49174834,276
MN89,46.61662611,-95.65032139,419
SNZE,-3.17194444,-52.19166667,112
SNTB,-7.72361112,-37.61888889,562
SBCT,-25.52888475,-49.17306200,911
SNTG,-8.61055555,-41.00027778,519
KAFO,42.70876950,-110.94216775,1896
AGAF,-9.19109700,160.94904599,6
LTAH,38.72642500,30.60111175,1009
NE19,41.60213032,-102.82598481,1113
79TX,26.07313350,-97.53748600,9
7TS9,29.05414305,-95.96245639,15
LS18,30.22104027,-92.77486639,6
94MN,46.57662694,-96.51201501,293
FY02,-20.01980000,13.73225000,608
GMAD,30.32262350,-9.41152806,76
WXY6,-4.02322487,137.95383280,2798
VEAT,23.88697750,91.24044850,14
ED01,47.55312753,10.27268272,729
VOAT,10.82365850,72.17603500,4
UDYA,39.97676500,47.00211419,293
HL58,30.76507200,20.19143300,15
LFBA,44.17402500,0.59296100,62
FAAG,-29.28148300,18.81444900,807
MN04,45.77357388,-95.26281112,423
OIAG,30.74544600,49.67608750,27
51OH,41.07032861,-84.08633334,226
FD2,55.81668100,-112.51669300,556
YAWT,-24.20220038,151.89253088,9
YAGN,-12.14544135,142.14933797,48
VIAG,27.15779875,77.96114500,168
LTCO,39.65457050,43.02715100,1665
XS42,28.92941444,-99.08031028,198
SJSS,-12.50833333,-55.69527778,335
LGAG,38.60207050,21.35119200,47
SIHW,-21.21888888,-47.87638889,543
SWBW,-14.76833333,-60.03444444,272
5CA7,36.33597200,-120.24708450,102
SIZU,-13.43583333,-54.27666668,435
SWAF,-16.48388889,-54.66722222,252
SJRJ,-7.64027778,-56.78777778,229
SNTP,-2.52527778,-48.75194444,20
SDRO,-16.46555556,-54.71194443,315
SNMF,-21.35055555,-46.25055556,866
